id;era;kind;image;image_content_type;name;unit;unit_description;quarter;quarter_description
1;INDUSTRIAL;SCIENTIST;../fake-data/blob/hipster.png;image/png;Consultant orchid;overriding compressing 1080p;withdrawal Ergonomic Rubber Pants;Table Credit Card Account deposit;User-friendly green Chips
2;INDUSTRIAL;EXPANSIONIST;../fake-data/blob/hipster.png;image/png;proactive user-centric Vietnam;Mali Identity;Bedfordshire;quantify;neutral Infrastructure Future
3;CONTEMPORARY;EXPANSIONIST;../fake-data/blob/hipster.png;image/png;panel;Re-contextualized Product;override;Central;quantifying
4;EARLY_MODERN;MERCHANT;../fake-data/blob/hipster.png;image/png;invoice Synergized deposit;Strategist Passage Kids;interface Utah;Electronics convergence;Data
5;ANCIENT;BUILDER;../fake-data/blob/hipster.png;image/png;Bahamas e-business;backing up Visionary 6th generation;bypassing;Multi-tiered SQL Massachusetts;Customer Handmade Home Loan Account
6;EARLY_MODERN;BUILDER;../fake-data/blob/hipster.png;image/png;convergence Row Direct;protocol Rustic Granite Chair;Hollow;quantifying withdrawal deposit;Planner
7;EARLY_MODERN;MILITARIST;../fake-data/blob/hipster.png;image/png;payment project Tasty Concrete Chicken;Wooden;eyeballs;Tools Human solid state;synthesizing South Africa networks
8;MEDIEVAL;WARMONGER;../fake-data/blob/hipster.png;image/png;Minnesota navigate;indigo online Configuration;parsing Engineer Electronics;overriding;Networked generating models
9;EARLY_MODERN;SCIENTIST;../fake-data/blob/hipster.png;image/png;Sausages Jewelery withdrawal;Metal circuit Bosnia and Herzegovina;index;Jewelery dedicated;Liaison Curve deposit
10;CLASSICAL;AGRARIAN;../fake-data/blob/hipster.png;image/png;Ukraine Plastic;Associate;Checking Account Madagascar;Practical back-end wireless;Forward payment Baby
